CODE,MFR,MODEL,TYPE,HORSEPOWER,THRUST,
01587,AIRESEARCH,TPE331-10UR,2,00940,000000,
01588,AIRESEARCH,TPE331-11U,2,01000,000000,
01589,AIRESEARCH,TPE331-11UA,2,01000,000000,
01590,AIRESEARCH,TPE331-12,2,00940,000000,
01591,AIRESEARCH,TPE331-12B,2,01100,000000,
01592,AIRESEARCH,TPE331-12JR,2,01000,000000,
01593,AIRESEARCH,TPE331-12UA,2,01100,000000,
01594,AIRESEARCH,TPE331-12UAR,2,01100,000000,
01595,AIRESEARCH,TPE331-12UER,2,01100,000000,
01596,AIRESEARCH,TPE331-12UHR,2,01100,000000,
01597,AIRESEARCH,TSE331-3U,3,00800,000000,
01598,AIRESEARCH,TSE36-1,3,00240,000000,
01599,AIRESEARCH,TFE731-3R-1H,5,00000,003880,
01647,ALLIANCE,TPE331-1UA,2,00665,000000,
01648,ALLIANCE,TPE331-2,2,00715,000000,
01649,AIRESEARCH,TPE331-2U,2,00715,000000,
01650,AIRESEARCH,TPE331-2UA,2,00715,000000,
01651,ALISPORT,A302EFI,1,00028,000000,
01652,HONEYWELL,TPE331-2-201A,2,00715,000000,
02001,ALLIANCE,HESS WARRIOR,1,00115,000000,
02500,ALLIEDSIGN,CFE-738 SER,5,02800,000000,
02501,ALLIEDSIGN,T5317A-1,3,01500,000000,
02502,ALLIEDSIGN,TFE 731-2B,4,00000,003500,
02503,ALLIEDSIGN,LF507-1F,4,04600,000000,
02504,ALLIEDSIGN,TFE731-60,5,00000,005000,
02505,ALLIEDSIGN,TPE331-12UHR,2,01100,000000,
02506,ALLIEDSIGN,TFE731-40-1C,5,00000,004000,
02507,ALLIEDSIGN,TPE 331 SER,5,00904,000000,
02508,ALLIEDSIGN,TFE731-5BR,5,00000,004750,
02509,ALLIEDSIGN,TFE731 SERIES,5,00000,003500,
02510,ALLIEDSIGN,T5309A,3,01100,000000,
02511,ALLIEDSIGN,T5309B,3,01100,000000,
02512,ALLIEDSIGN,T5309C,3,01100,000000,
02513,ALLIEDSIGN,T5311A,3,01100,000000,
02514,ALLIEDSIGN,T5311B,3,01100,000000,
02515,ALLIEDSIGN,TFE731-20,5,00000,003500,
02516,ALLIEDSIGN,TFE731-20AR,5,00000,003650,
02517,ALLIEDSIGN,TFE731-20BR,5,00000,003650,
02518,ALLIEDSIGN,TFE731-20R,5,00000,003650,
02519,ALLIEDSIGN,TFE731-40,5,00000,004250,
02520,ALLIEDSIGN,TFE731-40R,5,00000,004462,
02521,ALLIEDSIGN,TFE731-40AR,5,00000,004420,
02522,ALLIEDSIGN,LTC1B-1,3,00860,000000,
02523,ALLIEDSIGN,TPE331-25A,2,00575,000000,
02524,ALLIEDSIGN,TPE331-25AA,2,00575,000000,
02525,ALLIEDSIGN,TPE331-25AB,2,00575,000000,
02526,ALLIEDSIGN,TPE331-25B,2,00575,000000,
02527,ALLIEDSIGN,TPE331-25C,2,00575,000000,
02528,ALLIEDSIGN,TPE331-25D,2,00575,000000,
02529,ALLIEDSIGN,TPE331-25DA,2,00575,000000,
02530,ALLIEDSIGN,TPE331-25DB,2,00575,000000,
02531,ALLIEDSIGN,TPE331-25E,2,00575,000000,
02532,ALLIEDSIGN,TPE331-25FA,2,00575,000000,
02533,ALLIEDSIGN,TPE331-25FA,2,00575,000000,
02534,ALLIEDSIGN,TPE331-29A,2,00575,000000,
02535,ALLIEDSIGN,TPE331-43,2,00575,000000,
02536,ALLIEDSIGN,TPE331-43-A,2,00575,000000,
02537,ALLIEDSIGN,TPE331-43-B,2,00575,000000,
02538,ALLIEDSIGN,TPE331-45,2,00575,000000,
02539,ALLIED SIG,TPE331-47,2,00575,000000,
02540,ALLIEDSIGN,TPE331-47-A,2,00575,000000,
02541,ALLIEDSIGN,TPE331-47-B,2,00575,000000,
02542,ALLIEDSIGN,TPE331-51,2,00575,000000,
02543,ALLIEDSIGN,TPE331-55,2,00575,000000,
02544,ALLIEDSIGN,TPE331-55-A,2,00575,000000,
02545,ALLIEDSIGN,TPE331-55-B,2,00575,000000,
02546,ALLIEDSIGN,TPE331-57,2,00575,000000,
02547,ALLIEDSIGN,TPE331-57-B,2,00575,000000,
02548,ALLIEDSIGN,TPE331-61,2,00575,000000,
02549,ALLIEDSIGN,TPE331-61-A,2,00575,000000,
02550,ALLIEDSIGN,TPE331-1,2,00665,000000,
02551,ALLIEDSIGN,TPE331-1U,2,00665,000000,
02552,ALLIEDSIGN,TPE331-1UA,2,00665,000000,
02553,ALLIEDSIGN,TPE331-2,2,00715,000000,
02554,ALLIEDSIGN,TPE331-2U,2,00715,000000,
02555,ALLIEDSIGN,TPE331-2UA,2,00715,000000,
02556,ALLIEDSIGN,T5508D,3,02250,000000,
02557,ALLIEDSIGN,AL5512,3,04075,000000,
02558,ALLIEDSIGN,TPE331-3,2,00840,000000,
02559,ALLIEDSIGN,TPE331-3U,2,00840,000000,
02560,ALLIEDSIGN,TPE331-3UW,2,00840,000000,
02561,ALLIEDSIGN,TPE331-3W,2,00840,000000,
02562,ALLIEDSIGN,TPE331-10UA,2,00840,000000,
02563,ALLIEDSIGN,TPE331-5,2,00776,000000,
02565,ALLIEDSIGN,TPE331-5AB,2,00840,000000,
02566,ALLIEDSIGN,TPE331-5B,2,00776,000000,
02567,ALLIEDSIGN,TPE331-5U,2,00776,000000,
02568,ALLIEDSIGN,TPE331-6,2,00750,000000,
02569,ALLIEDSIGN,TPE331-6A,2,00750,000000,
02570,ALLIEDSIGN,TPE331-6U,2,00750,000000,
02571,ALLIEDSIGN,TPE331-8,2,00715,000000,
02572,ALLIEDSIGN,TPE331-8A,2,00715,000000,
02573,ALLIEDSIGN,TPE331-9,2,00865,000000,
02574,ALLIEDSIGN,TPE331-9U,2,00865,000000,
02575,ALLIEDSIGN,TPE331-10,2,00940,000000,
02576,ALLIEDSIGN,TPE331-10A,2,00940,000000,
02577,ALLIEDSIGN,TPE331-10AV,2,00750,000000,
02578,ALLIEDSIGN,TPE331-10B,2,00940,000000,
02579,ALLIEDSIGN,TPE331-10G,2,00940,000000,
02580,ALLIEDSIGN,TPE331-10GP,2,00840,000000,
02581,ALLIEDSIGN,TPE331-10GR,2,00940,000000,
02582,ALLIEDSIGN,TPE331-10GT,2,00840,000000,
02583,ALLIEDSIGN,TPE331-10J,2,01000,000000,
02584,ALLIEDSIGN,TPE331-10N,2,00715,000000,
02585,ALLIEDSIGN,TPE331-10P,2,00776,000000,
02586,ALLIEDSIGN,TPE331-10R,2,00940,000000,
02587,ALLIEDSIGN,TPE331-10T,2,00776,000000,
02588,ALLIEDSIGN,TPE331-10U,2,00940,000000,
02589,ALLIEDSIGN,TPE331-10UF,2,00940,000000,
02590,ALLIEDSIGN,TPE-331-10UG,2,00940,000000,
02591,ALLIEDSIGN,TPE331-10UGR,2,00940,000000,
02592,ALLIEDSIGN,TPE331-10UJ,2,01000,000000,
02593,ALLIEDSIGN,TPE331-10UK,2,01000,000000,
02594,ALLIEDSIGN,TPE331-10UR,2,00940,000000,
02595,ALLIEDSIGN,TPE331-11U,2,01000,000000,
02596,ALLIEDSIGN,TPE331-11UA,2,01000,000000,
02597,ALLIEDSIGN,TPE331-12,2,00940,000000,
02598,ALLIEDSIGN,TPE331-12B,2,01100,000000,
02599,ALLIEDSIGN,TPE331-12JR,2,01000,000000,
02600,ALLIEDSIGN,TPE331-12UA,2,01100,000000,
02601,ALLIEDSIGN,TPE331-12UAR,2,01100,000000,
02602,ALLIEDSIGN,TPE331-12UER,2,01100,000000,
02603,ALLIEDSIGN,TSE331-3U,3,00800,000000,
02604,ALLIEDSIGN,T5307A,2,01100,000000,
02605,ALLIEDSIGN,ATF3-6,5,05440,000000,
02606,ALLIEDSIGN,ATF3-6A,5,05440,000000,
02607,ALLIEDSIGN,TFE731-2,5,00000,003500,
02608,ALLIEDSIGN,TFE731-2A,5,00000,003600,
02609,ALLIEDSIGN,TFE731-2BR,5,00000,003650,
02610,ALLIEDSIGN,TFE731-2C,5,00000,003500,
02611,ALLIEDSIGN,TFE731-3,5,00000,003700,
02612,ALLIEDSIGN,TFE731-3R,5,00000,003880,
02613,ALLIEDSIGN,TFE731-3A,5,00000,003700,
02614,ALLIEDSIGN,TFE731-3AR,5,00000,003880,
02615,ALLIEDSIGN,TFE731-3B,5,00000,003650,
02616,ALLIEDSIGN,TFE731-3BR,5,00000,003850,
02617,ALLIEDSIGN,TFE731-3C,5,00000,003700,
02618,ALLIEDSIGN,TFE731-3CR,5,00000,003880,
02619,ALLIEDSIGN,TFE731-3D,5,00000,003700,
02620,ALLIEDSIGN,TFE731-3DR,5,00000,003880,
02621,ALLIEDSIGN,TFE731-4,5,00000,004080,
02622,ALLIEDSIGN,TFE731-4R,5,00000,004080,
02623,ALLIEDSIGN,TFE731-5,5,00000,004304,
02624,ALLIEDSIGN,TFE731-5A,5,00000,004500,
02625,ALLIEDSIGN,TFE731-5AR,5,00000,004500,
02626,ALLIEDSIGN,TFE731-5B,5,00000,004750,
02627,ALLIEDSIGN,TFE731-5R,5,00000,004500,
02628,ALLIEDSIGN,LTP101-600,2,00599,000000,
02629,ALLIEDSIGN,LTP101-600A,2,00599,000000,
02630,ALLIEDSIGN,LTP101-600A1A,2,00599,000000,
02631,ALLIEDSIGN,LTP101-700A1A,2,00671,000000,
02632,ALLIEDSIGN,T5313B,3,01400,000000,
02633,ALLIEDSIGN,T5317A,3,01500,000000,
02634,ALLIEDSIGN,T5317B,3,01500,000000,
02635,ALLIEDSIGN,TPE331-14A,2,01250,000000,
02636,ALLIEDSIGN,TPE331-14B,2,01250,000000,
02637,ALLIEDSIGN,TPE331-14F,2,01250,000000,
02638,ALLIEDSIGN,TPE331-14GR,2,01650,000000,
02639,ALLIEDSIGN,TPE331-14HR,2,01650,000000,
02640,ALLIEDSIGN,TPE331-15AW,2,01645,000000,
02641,ALLIEDSIGN,ALF502L,5,00000,007500,
02642,ALLIEDSIGN,ALF502L-2,5,00000,007500,
02643,ALLIEDSIGN,ALF502L-2A,5,00000,007500,
02644,ALLIEDSIGN,ALF502L-2C,5,00000,007500,
02645,ALLIEDSIGN,ALF502L-3,5,00000,007500,
02646,ALLIEDSIGN,ALF502R-3,5,00000,006700,
02647,ALLIEDSIGN,ALF502R-3A,5,00000,006970,
02648,ALLIEDSIGN,ALF502R-4,5,00000,006970,
02649,ALLIEDSIGN,ALF502R-5,5,00000,006970,
02650,ALLIEDSIGN,ALF502R-6,5,00000,007500,
02651,ALLIEDSIGN,ALF507-1H,5,00000,007000,
02652,ALLIEDSIGN,ALF507-1F,5,00000,007000,
02655,ALLIEDSIGN,TFE731-5BR-C1,5,00000,004750,
03000,ALLISON,501 SER,2,04680,000000,
03001,ALLISON,V1710 SERIES,3,01500,000000,
03002,ALLISON,250 SER 250HP,3,00250,000000,
03003,ALLISON,250 SER 250HP,2,00250,000000,
03004,ALLISON,501-D13 SER,2,03750,000000,
03005,ALLISON,501-D22,2,04050,000000,
03006,ALLISON,501-D22A,2,04680,000000,
03007,ALLISON,J33-A SERIES,4,00635,000000,
03008,ALLISON,J35-A SERIES,4,00750,000000,
03009,ALLISON,T-56-A-7 SER,2,04050,000000,
03011,ALLISON,250 SER 317HP,3,00317,000000,
03012,ALLISON,250 SER 400HP,2,00400,000000,
03013,ALLISON,250 SER 400HP,3,00400,000000,
03014,ALLISON,250 SERIES,2,00300,000000,
03015,ALLISON,250-C30 SER,3,00650,000000,
03017,ALLISON,250-B17 SER,2,00400,000000,
03018,ALLISON,250-B17 SER,3,00450,000000,
03019,ALLISON,250 SER,1,00420,000000,
03020,ALLISON,250-C20 SER,2,00420,000000,
03021,ALLISON,250-C28 SER,2,00500,000000,
03022,ALLISON,250-C28 SER,3,00500,000000,
03023,ALLISON,T56-A-15 SER,2,04910,000000,
03024,ALLISON,A225-C10A,3,00350,000000,
03025,ALLISON,T56A11 SER,2,04900,000000,
03026,ALLISON,T-56A-9,2,03750,000000,
03027,ALLISON,AE2100SER,2,04125,000000,
03028,ALLISON,AE3007C SER,5,00000,006442,
03029,ALLISON,250-C47,3,00600,000000,
03030,ALLISON,AE 3007A,5,00000,007580,
03031,ALLISON,T63 SERIES,3,00250,000000,
03032,ALLISON,T-56-A-10W,2,04500,000000,
03033,ALLISON,T56-A-16,2,04910,000000,
03035,ALLISON,250-C10D,3,00317,000000,
03036,ALLISON,AE 3007A1/3,5,00000,007580,
03037,ALLISON,T56-10 SER,2,04000,000000,
03040,ALLISON,V1710 SER,1,01500,000000,
03041,ALLISON,AE 1107C,3,04637,000000,
03042,ALLISON,AE 2100A,2,04152,000000,
03043,ALLISON,AE 2100C,2,03271,000000,
03044,ALLISON,AE 2100D2,2,04637,000000,
03045,ALLISON,AE 2100D3,2,04637,000000,
03046,ALLISON,AE 2100J,2,04591,000000,
03047,ALLISON,AE 3007C,5,00000,006442,
03048,ALLISON,AE 3007A1/1,5,00000,007580,
03049,ALLISON,AE 3007A1/2,5,00000,007580,
03050,ALLISON,AE 3007A1,5,00000,007580,
03051,ALLISON,AE 3007A1P,5,00000,008338,
03052,ALLISON,AE 3007A3,5,00000,007201,
03053,ALLISON,AE 3007C1,5,00000,006764,
03054,ALLISON,AE 3007A1E,5,00000,008917,
03055,ALLISON,501-D13,2,03750,000000,
03056,ALLISON,501-D13A,2,03750,000000,
03057,ALLISON,501-D13D,2,03750,000000,
03058,ALLISON,501-D13E,2,03750,000000,
03059,ALLISON,501-D13H,2,03750,000000,
03060,ALLISON,501-D22C,2,04680,000000,
03061,ALLISON,502-D22G,2,04815,000000,
03062,ALLISON,250-B15A,2,00317,000000,
03063,ALLISON,250-B15E,2,00317,000000,
03064,ALLISON,250-B15G,2,00317,000000,
03065,ALLISON,250-B17,2,00400,000000,
03066,ALLISON,250-B17B,2,00400,000000,
03067,ALLISON,250-B17C,2,00420,000000,
03068,ALLISON,250-B17D,2,00420,000000,
03069,ALLISON,250-B17E,2,00420,000000,
03070,ALLISON,250-B17F,2,00450,000000,
03071,ALLISON,250-B17F/1,2,00450,000000,
03072,ALLISON,250-B17F/2,2,00450,000000,
03073,ALLISON,250-C10,3,00250,000000,
03074,ALLISON,250-C10B,3,00317,000000,
03075,ALLISON,250-C18,3,00317,000000,
03076,ALLISON,250-C18A,3,00317,000000,
03077,ALLISON,250-C19,3,00317,000000,
03078,ALLISON,250-C18B,3,00317,000000,
03079,ALLISON,250-C18C,3,00317,000000,
03080,ALLISON,250-C20,3,00400,000000,
03081,ALLISON,250-C20B,3,00420,000000,
03082,ALLISON,250-C20C,3,00420,000000,
03083,ALLISON,T63-A-720,3,00420,000000,
03084,ALLISON,T63-A-5,3,00250,000000,
03085,ALLISON,T63-A-5A,3,00317,000000,
03086,ALLISON,T63-A-700,3,00317,000000,
03087,ALLISON,250-C20F,3,00420,000000,
03088,ALLISON,250-C20J,3,00420,000000,
03089,ALLISON,250-C20S,3,00420,000000,
03090,ALLISON,250-C20R,3,00450,000000,
03091,ALLISON,250-C20R/1,3,00450,000000,
03092,ALLISON,250-C20R/2,3,00450,000000,
03093,ALLISON,250-C20R/4,3,00450,000000,
03094,ALLISON,225-C10,3,00350,000000,
03095,ALLISON,225-C10A,3,00350,000000,
03096,ALLISON,250-C20W,3,00420,000000,
03097,ALLISON,250-C30,3,00650,000000,
03098,ALLISON,250-C30S,3,00650,000000,
03099,ALLISON,250-C30P,3,00650,000000,
03100,ALLISON,250-C30M,3,00650,000000,
03101,ALLISON,250-C30R,3,00650,000000,
03102,ALLISON,T703-AD-700,3,00650,000000,
03103,ALLISON,250-C30G,3,00650,000000,
03104,ALLISON,250-C30U,3,00650,000000,
03105,ALLISON,250-C30G/2,3,00650,000000,
03106,ALLISON,250-C30R/1,3,00650,000000,
03107,ALLISON,T703-AD-700B,3,00650,000000,
03108,ALLISON,250-C40B,3,00715,000000,
03109,ALLISON,250-C47B,3,00650,000000,
03110,ALLISON,250-C47M,3,00650,000000,
03111,ALLISON,250-C30R/3,3,00650,000000,
03112,ALLISON,250-C30R/3M,3,00650,000000,
03113,ALLISON,250-C28,3,00500,000000,
03114,ALLISON,250-C28B,3,00500,000000,
03115,ALLISON,250-C28C,3,00500,000000,
03116,ALLISON,501-D22G,2,04815,000000,
03120,ALLISON,T56-A-14,2,05300,000000,
03808,ALVIS,514/SER,1,00560,000000,
03809,ALVIS,504/5A,1,00545,000000,
03810,ALVIS,504/6A,1,00545,000000,
03811,ALVIS,504/7A,1,00545,000000,
03812,ALVIS,504/8,1,00545,000000,
03813,ALVIS,503/5A,1,00545,000000,
03814,ALVIS,503/6A,1,00545,000000,
03815,ALVIS,503/7A,1,00545,000000,
03816,ALVIS,503/8,1,00545,000000,
03817,ALVIS,502/5A,1,00545,000000,
03818,ALVIS,502/6A,1,00545,000000,
03819,ALVIS,502/7A,1,00545,000000,
03820,ALVIS,502/8,1,00545,000000,
03821,ALVIS,514/5,1,00560,000000,
03822,ALVIS,514/5A,1,00560,000000,
03823,ALVIS,514/6,1,00560,000000,
03824,ALVIS,514/6A,1,00560,000000,
03825,ALVIS,514/8,1,00560,000000,
03826,ALVIS,514/8A,1,00560,000000,
03827,ALVIS,514/7,1,00560,000000,
03828,ALVIS,514/7A,1,00560,000000,
03829,ALVIS,531/8,1,00650,000000,
03830,ALVIS,531/8B,1,00635,000000,
04001,AMERICAN,S5-125,1,00125,000000,
04501,AMES,TRS 18-046,4,00000,000198,
04564,ROLL-ROYC,TAY 620-15,5,13850,000000,
04701,ANZANI,Y,1,00035,000000,
04702,ANZANI,W-3,1,00025,000000,
05302,ARDEM,4 C02,1,00030,000000,
05403,ARGUS,AS10C-3,1,00240,000000,
05404,ARGUS,AS10R,1,00250,000000,
05405,ARGUS,AS410-A2,1,00459,000000,
05406,ARGUS,AS10-P,1,00250,000000,
05501,ARMST SIDD,GENET MARK 11,1,00080,000000,
06001,ARROW,V8F,1,00082,000000,
06100,ASZ,621R,1,00967,000000,
06301,AUDI,TDI,8,00245,000000,
06400,AUSTRO,E4 SERIES,1,00168,000000,
06401,AUSTRO,IAE 50R-AA,11,00056,000000,
06402,AUSTRO,E4-A,1,00168,000000,
06403,AUSTRO,E4-C,1,00168,000000,
06404,AUSTRO,AE330,8,00171,000000,
06405,AUSTRO,E4P(SERIES),8,00179,000000,
06501,AVIA,M-137A,1,00180,000000,
06502,AVIA,M337AK,1,00210,000000,
06503,AVIA,M462-RF,1,00315,000000,
07001,SZEKELY,SR-3-L,1,00030,000000,
07003,SZEKELY,SR-3-45,1,00045,000000,
09001,BARRETT,IO-360-X,1,00180,000000,
09002,BARRETT,320 SERIES,1,00150,000000,
09003,BARRETT,IO-390-X,1,00210,000000,
09004,BARRETT,IO-540-X,1,00260,000000,
09005,BARRETT,540 SERIES,1,00260,000000,
09050,BOMBARDIER,ROTAX (ALL),1,00000,000000,
09051,BOMBARDIER,ROTAX 912 F2,1,00081,000000,
09052,BOMBARDIER,ROTAX 912 F3,1,00081,000000,
09053,BOMBARDIER,ROTAX 912 F4,1,00081,000000,
09054,BOMBARDIER,ROTAX 912 S2,1,00099,000000,
09055,BOMBARDIER,ROTAX 912 S3,1,00099,000000,
09056,BOMBARDIER,ROTAX 912 S4,1,00099,000000,
09057,BOMBARDIER,ROTAX 914 F2,1,00115,000000,
09058,BOMBARDIER,ROTAX 914 F3,1,00115,000000,
09059,BOMBARDIER,ROTAX 914 F4,1,00115,000000,
09490,BMW,R1200 SERIES,1,00125,000000,
09493,BMW,801D,1,01677,000000,
09494,BMW ROLLS,BR700-710C411,5,00000,015385,
09495,BMW ROLLS,BR700-710A220,5,00000,014750,
09496,BMW ROLLS,BR700-710A110,5,00000,014750,
09497,BMW ROLLS,BR700-715C130,5,00000,021430,
09498,BMW ROLLS,BR700-715B130,5,00000,020160,
09499,BMW ROLLS,BR700-715A130,5,00000,018710,
09500,BMW ROLLS,BR 700 SERIES,5,00000,014970,
09501,BMS,EXPERIMENTAL,1,00180,000000,
10002,BRIST AERO,HERCULES,1,01690,000000,
10004,BRIST AERO,ORPHEUS 637,4,00500,000000,
10006,BRIST AERO,CNTURUSMK18,1,02480,000000,
10007,BRISTOL AE,PROTEUS 756,2,04060,000000,
10008,BRISTOL AE,PROTEUS 766,2,04310,000000,
